run_id,seed,dilemma_type,network_type,N,avg_degree,T,alpha,theta,beta,beneficiary_rule,init_frac_coop,converged,iters_to_conv,final_frac_coop
prisoners_HRG_T1.30_a0.70_s3,3,prisoners,HRG,1000,4.0,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.31
prisoners_HRG_T1.30_a0.70_s4,4,prisoners,HRG,1000,3.998,1.3,0.7,1.0,1.0,random,0.5,False,10000,0.28
prisoners_HRG_T1.30_a0.70_s4,4,prisoners,HRG,1000,3.998,1.3,0.7,1.0,1.0,nearest,0.5,False,10000,0.305
prisoners_HRG_T1.30_a0.90_s0,0,prisoners,HRG,1000,3.998,1.3,0.9,1.0,1.0,random,0.5,False,10000,0.424
prisoners_HRG_T1.30_a0.90_s0,0,prisoners,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.506
prisoners_HRG_T1.30_a0.90_s1,1,prisoners,HRG,1000,3.998,1.3,0.9,1.0,1.0,random,0.5,False,10000,0.448
prisoners_HRG_T1.30_a0.90_s1,1,prisoners,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.585
prisoners_HRG_T1.30_a0.90_s2,2,prisoners,HRG,1000,4.0,1.3,0.9,1.0,1.0,random,0.5,False,10000,0.444
prisoners_HRG_T1.30_a0.90_s2,2,prisoners,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.578
prisoners_HRG_T1.30_a0.90_s3,3,prisoners,HRG,1000,4.0,1.3,0.9,1.0,1.0,random,0.5,False,10000,0.428
prisoners_HRG_T1.30_a0.90_s3,3,prisoners,HRG,1000,4.0,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.538
prisoners_HRG_T1.30_a0.90_s4,4,prisoners,HRG,1000,3.998,1.3,0.9,1.0,1.0,random,0.5,False,10000,0.464
prisoners_HRG_T1.30_a0.90_s4,4,prisoners,HRG,1000,3.998,1.3,0.9,1.0,1.0,nearest,0.5,False,10000,0.551
prisoners_HRG_T1.40_a0.00_s0,0,prisoners,HRG,1000,3.998,1.4,0.0,1.0,1.0,random,0.5,False,10000,0.048
prisoners_HRG_T1.40_a0.00_s0,0,prisoners,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.032
prisoners_HRG_T1.40_a0.00_s1,1,prisoners,HRG,1000,3.998,1.4,0.0,1.0,1.0,random,0.5,False,10000,0.043
prisoners_HRG_T1.40_a0.00_s1,1,prisoners,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.059
prisoners_HRG_T1.40_a0.00_s2,2,prisoners,HRG,1000,4.0,1.4,0.0,1.0,1.0,random,0.5,False,10000,0.049
prisoners_HRG_T1.40_a0.00_s2,2,prisoners,HRG,1000,4.0,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.067
prisoners_HRG_T1.40_a0.00_s3,3,prisoners,HRG,1000,4.0,1.4,0.0,1.0,1.0,random,0.5,False,10000,0.039
prisoners_HRG_T1.40_a0.00_s3,3,prisoners,HRG,1000,4.0,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.051
prisoners_HRG_T1.40_a0.00_s4,4,prisoners,HRG,1000,3.998,1.4,0.0,1.0,1.0,random,0.5,False,10000,0.052
prisoners_HRG_T1.40_a0.00_s4,4,prisoners,HRG,1000,3.998,1.4,0.0,1.0,1.0,nearest,0.5,False,10000,0.057
prisoners_HRG_T1.40_a0.30_s0,0,prisoners,HRG,1000,3.998,1.4,0.3,1.0,1.0,random,0.5,False,10000,0.075
prisoners_HRG_T1.40_a0.30_s0,0,prisoners,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.085
prisoners_HRG_T1.40_a0.30_s1,1,prisoners,HRG,1000,3.998,1.4,0.3,1.0,1.0,random,0.5,False,10000,0.079
prisoners_HRG_T1.40_a0.30_s1,1,prisoners,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.094
prisoners_HRG_T1.40_a0.30_s2,2,prisoners,HRG,1000,4.0,1.4,0.3,1.0,1.0,random,0.5,False,10000,0.061
prisoners_HRG_T1.40_a0.30_s2,2,prisoners,HRG,1000,4.0,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.095
prisoners_HRG_T1.40_a0.30_s3,3,prisoners,HRG,1000,4.0,1.4,0.3,1.0,1.0,random,0.5,False,10000,0.064
prisoners_HRG_T1.40_a0.30_s3,3,prisoners,HRG,1000,4.0,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.079
prisoners_HRG_T1.40_a0.30_s4,4,prisoners,HRG,1000,3.998,1.4,0.3,1.0,1.0,random,0.5,False,10000,0.11
prisoners_HRG_T1.40_a0.30_s4,4,prisoners,HRG,1000,3.998,1.4,0.3,1.0,1.0,nearest,0.5,False,10000,0.088
prisoners_HRG_T1.40_a0.50_s0,0,prisoners,HRG,1000,3.998,1.4,0.5,1.0,1.0,random,0.5,False,10000,0.149
prisoners_HRG_T1.40_a0.50_s0,0,prisoners,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.13
prisoners_HRG_T1.40_a0.50_s1,1,prisoners,HRG,1000,3.998,1.4,0.5,1.0,1.0,random,0.5,False,10000,0.118
prisoners_HRG_T1.40_a0.50_s1,1,prisoners,HRG,1000,3.998,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.154
prisoners_HRG_T1.40_a0.50_s2,2,prisoners,HRG,1000,4.0,1.4,0.5,1.0,1.0,random,0.5,False,10000,0.114
prisoners_HRG_T1.40_a0.50_s2,2,prisoners,HRG,1000,4.0,1.4,0.5,1.0,1.0,nearest,0.5,False,10000,0.155
